43113859			,27-APR-10 09.17.34.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.17.34.787590 AM						     ,CR_MassFilter											  ,SEDAEGXSDA,	       5,     22091,06-JUN-11	      , ,									    ,										,
43114664			,27-APR-10 09.19.49.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.19.49.080713 AM						     ,CR_MassFilter											  ,SCNLE2ATFL,	       2,     18440,11-JAN-13	      , ,									    ,										,
43121312			,27-APR-10 09.37.07.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.37.07.675884 AM						     ,CR_MassFilter											  ,SCBEECTSXX,	       2,      2737,29-JAN-19	      , ,									    ,										,
43121544			,27-APR-10 09.37.29.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.37.29.106865 AM						     ,CR_MassFilter											  ,LOVUESFRCE,	       1,      8054,29-JAN-19	      , ,									    ,										,
43121787			,27-APR-10 09.37.49.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.37.49.048141 AM						     ,CR_MassFilter											  ,SAG_ESFRIT,	       7,      2373,27-JUN-11	      , ,									    ,										,
43122261			,27-APR-10 09.38.42.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.38.42.200584 AM						     ,CR_MassFilter											  ,SCEBEALLBE,	       1,      2821,05-APR-11	      , ,									    ,										,
43122983			,27-APR-10 09.41.06.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.41.06.423377 AM						     ,CR_MassFilter											  ,ROBOEDEROP,	       1,      4241,10-AUG-10	      , ,									    ,										,
43125206			,27-APR-10 09.46.03.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.46.03.024871 AM						     ,CR_MassFilter											  ,APPLESINPO,	       3,      5169,12-JUL-10	      , ,									    ,										,
43125602			,27-APR-10 09.47.25.000000 AM						    ,CR_MassFilter											 ,27-APR-10 09.47.25.264892 AM						     ,CR_MassFilter											  ,SCXXEALLCV,	       2,	340,29-JAN-19	      , ,									    ,										,
43144335			,27-APR-10 10.30.36.000000 AM						    ,CR_MassFilter											 ,27-APR-10 10.30.36.611345 AM						     ,CR_MassFilter											  ,STMIECETST,	       1,      1014,20-JUL-11	      , ,									    ,										,
43145282			,27-APR-10 10.33.21.000000 AM						    ,CR_MassFilter											 ,27-APR-10 10.33.21.666904 AM						     ,CR_MassFilter											  ,ALPSEFGBED,	       1,     57996,13-FEB-12	      , ,									    ,										,
43162429			,27-APR-10 11.12.33.000000 AM						    ,CR_MassFilter											 ,27-APR-10 11.12.33.540749 AM						     ,CR_MassFilter											  ,SSABE2POXM,	      10,     16265,04-DEC-12	      , ,									    ,										,
43164501			,27-APR-10 11.17.01.000000 AM						    ,CR_MassFilter											 ,27-APR-10 11.17.01.042367 AM						     ,CR_MassFilter											  ,SAG_ESFRRT,	       1,     63848,18-NOV-10	      , ,									    ,										,
43165277			,27-APR-10 11.18.14.000000 AM						    ,CR_MassFilter											 ,27-APR-10 11.18.14.627548 AM						     ,CR_MassFilter											  ,HPIGECOSED,	       1,      7452,29-JAN-19	      , ,									    ,										,
43166759			,27-APR-10 11.23.18.000000 AM						    ,CR_MassFilter											 ,27-APR-10 11.23.18.307101 AM						     ,CR_MassFilter											  ,SPARE2CVCE,	       2,      9144,05-DEC-12	      , ,									    ,										,
43173894			,27-APR-10 11.38.51.000000 AM						    ,CR_MassFilter											 ,27-APR-10 11.38.51.278221 AM						     ,CR_MassFilter											  ,AISIEVIEOL,	       2,      5320,28-JAN-19	      , ,									    ,										,
